gridx	gridy	x	y
3815	7813	953750	1953250
3815	7814	953750	1953500
3810	7810	952500	1952500
3788	7777	947000	1944250
3824	7815	956000	1953750
3811	7811	952750	1952750
3816	7815	954000	1953750
3817	7814	954250	1953500
3818	7814	954500	1953500
3817	7815	954250	1953750
3811	7812	952750	1953000
3813	7812	953250	1953000
3816	7816	954000	1954000
3817	7816	954250	1954000
3818	7815	954500	1953750
3813	7811	953250	1952750
3814	7813	953500	1953250
3815	7812	953750	1953000
3818	7816	954500	1954000
3816	7810	954000	1952500
3816	7811	954000	1952750
3809	7820	952250	1955000
3852	7808	963000	1952000
3847	7794	961750	1948500
3847	7795	961750	1948750
3813	7768	953250	1942000
3814	7768	953500	1942000
3821	7805	955250	1951250
3820	7805	955000	1951250
3769	7780	942250	1945000
3851	7808	962750	1952000
3855	7795	963750	1948750
3846	7796	961500	1949000
3838	7812	959500	1953000
3828	7846	957000	1961500
3871	7805	967750	1951250
3872	7791	968000	1947750
3868	7802	967000	1950500
3868	7801	967000	1950250
3841	7814	960250	1953500
3849	7804	962250	1951000
3804	7799	951000	1949750
3803	7800	950750	1950000
3811	7765	952750	1941250
3833	7779	958250	1944750
3793	7785	948250	1946250
3854	7798	963500	1949500
3851	7804	962750	1951000
3828	7840	957000	1960000
3827	7844	956750	1961000
3794	7803	948500	1950750
3850	7819	962500	1954750
3832	7807	958000	1951750
3832	7806	958000	1951500
3794	7773	948500	1943250
3836	7844	959000	1961000
3817	7811	954250	1952750
3813	7814	953250	1953500
3822	7817	955500	1954250
3825	7812	956250	1953000
3784	7764	946000	1941000
3819	7813	954750	1953250
3820	7813	955000	1953250
3816	7817	954000	1954250
3822	7818	955500	1954500
3820	7816	955000	1954000
3820	7815	955000	1953750
3820	7817	955000	1954250
3820	7814	955000	1953500
3819	7814	954750	1953500
3826	7811	956500	1952750
3825	7810	956250	1952500
3826	7810	956500	1952500
3826	7809	956500	1952250
3823	7818	955750	1954500
3817	7809	954250	1952250
3811	7819	952750	1954750
3813	7813	953250	1953250
3821	7816	955250	1954000
3821	7817	955250	1954250
3820	7818	955000	1954500
3821	7818	955250	1954500
3819	7817	954750	1954250
3830	7837	957500	1959250
3850	7835	962500	1958750
3850	7834	962500	1958500
3845	7848	961250	1962000
3755	7808	938750	1952000
3873	7796	968250	1949000
3867	7793	966750	1948250
3758	7797	939500	1949250
3837	7771	959250	1942750
3772	7778	943000	1944500
3781	7773	945250	1943250
3849	7802	962250	1950500
3844	7798	961000	1949500
3803	7776	950750	1944000
3851	7824	962750	1956000
3851	7823	962750	1955750
3876	7806	969000	1951500
3802	7799	950500	1949750
3789	7801	947250	1950250
3790	7801	947500	1950250
3833	7777	958250	1944250
3847	7808	961750	1952000
3761	7769	940250	1942250
3828	7799	957000	1949750
3830	7773	957500	1943250
3801	7797	950250	1949250
3803	7803	950750	1950750
3804	7803	951000	1950750
3802	7841	950500	1960250
3792	7823	948000	1955750
3792	7824	948000	1956000
3821	7770	955250	1942500
3842	7805	960500	1951250
3787	7791	946750	1947750
3852	7797	963000	1949250
3834	7837	958500	1959250
3774	7792	943500	1948000
3773	7795	943250	1948750
3827	7776	956750	1944000
3835	7763	958750	1940750
3849	7827	962250	1956750
3795	7818	948750	1954500
3796	7818	949000	1954500
3796	7819	949000	1954750
3795	7819	948750	1954750
3832	7834	958000	1958500
3835	7828	958750	1957000
3881	7804	970250	1951000
3770	7775	942500	1943750
3853	7791	963250	1947750
3791	7808	947750	1952000
3853	7783	963250	1945750
3788	7787	947000	1946750
3789	7787	947250	1946750
3861	7765	965250	1941250
3861	7766	965250	1941500
3873	7797	968250	1949250
3866	7798	966500	1949500
3868	7792	967000	1948000
3810	7821	952500	1955250
3825	7809	956250	1952250
3810	7822	952500	1955500
3809	7822	952250	1955500
3809	7821	952250	1955250
3813	7815	953250	1953750
3821	7809	955250	1952250
3821	7810	955250	1952500
3821	7811	955250	1952750
3813	7816	953250	1954000
3812	7817	953000	1954250
3812	7818	953000	1954500
3813	7817	953250	1954250
3813	7818	953250	1954500
3811	7818	952750	1954500
3810	7820	952500	1955000
3790	7761	947500	1940250
3834	7815	958500	1953750
3834	7814	958500	1953500
3830	7811	957500	1952750
3827	7809	956750	1952250
3827	7810	956750	1952500
3829	7837	957250	1959250
3800	7810	950000	1952500
3800	7809	950000	1952250
3838	7765	959500	1941250
3828	7847	957000	1961750
3861	7823	965250	1955750
3833	7780	958250	1945000
3834	7780	958500	1945000
3860	7762	965000	1940500
3830	7844	957500	1961000
3789	7793	947250	1948250
3844	7817	961000	1954250
3795	7825	948750	1956250
3756	7805	939000	1951250
3758	7803	939500	1950750
3875	7796	968750	1949000
3874	7796	968500	1949000
3872	7778	968000	1944500
3788	7767	947000	1941750
3831	7845	957750	1961250
3830	7821	957500	1955250
3797	7814	949250	1953500
3860	7823	965000	1955750
3812	7796	953000	1949000
3763	7805	940750	1951250
3763	7804	940750	1951000
3815	7807	953750	1951750
3815	7806	953750	1951500
3814	7806	953500	1951500
3814	7805	953500	1951250
3848	7799	962000	1949750
3788	7761	947000	1940250
3787	7761	946750	1940250
3766	7784	941500	1946000
3828	7820	957000	1955000
3764	7776	941000	1944000
3785	7796	946250	1949000
3852	7807	963000	1951750
3818	7777	954500	1944250
3812	7770	953000	1942500
3863	7783	965750	1945750
3774	7791	943500	1947750
3774	7790	943500	1947500
3773	7791	943250	1947750
3851	7791	962750	1947750
3852	7794	963000	1948500
3854	7809	963500	1952250
3853	7809	963250	1952250
3866	7772	966500	1943000
3766	7807	941500	1951750
3791	7826	947750	1956500
3790	7819	947500	1954750
3797	7771	949250	1942750
3808	7826	952000	1956500
3830	7810	957500	1952500
3810	7824	952500	1956000
3808	7825	952000	1956250
3810	7825	952500	1956250
3811	7825	952750	1956250
3811	7824	952750	1956000
3809	7826	952250	1956500
3809	7825	952250	1956250
3831	7810	957750	1952500
3823	7817	955750	1954250
3831	7811	957750	1952750
3814	7816	953500	1954000
3814	7817	953500	1954250
3810	7819	952500	1954750
3818	7808	954500	1952000
3820	7808	955000	1952000
3814	7814	953500	1953500
3822	7819	955500	1954750
3823	7819	955750	1954750
3812	7820	953000	1955000
3813	7820	953250	1955000
3814	7821	953500	1955250
3814	7822	953500	1955500
3813	7823	953250	1955750
3814	7823	953500	1955750
3816	7823	954000	1955750
3807	7827	951750	1956750
3807	7826	951750	1956500
3824	7818	956000	1954500
3824	7819	956000	1954750
3808	7827	952000	1956750
3851	7832	962750	1958000
3812	7825	953000	1956250
3813	7825	953250	1956250
3812	7826	953000	1956500
3813	7826	953250	1956500
3814	7826	953500	1956500
3846	7795	961500	1948750
3813	7827	953250	1956750
3814	7827	953500	1956750
3815	7827	953750	1956750
3816	7827	954000	1956750
3816	7828	954000	1957000
3852	7804	963000	1951000
3847	7813	961750	1953250
3838	7829	959500	1957250
3838	7830	959500	1957500
3834	7772	958500	1943000
3801	7840	950250	1960000
3801	7841	950250	1960250
3848	7803	962000	1950750
3830	7809	957500	1952250
3764	7797	941000	1949250
3756	7804	939000	1951000
3754	7805	938500	1951250
3790	7825	947500	1956250
3811	7768	952750	1942000
3789	7766	947250	1941500
3837	7772	959250	1943000
3838	7772	959500	1943000
3838	7771	959500	1942750
3852	7774	963000	1943500
3823	7781	955750	1945250
3823	7782	955750	1945500
3844	7835	961000	1958750
3803	7799	950750	1949750
3853	7805	963250	1951250
3789	7764	947250	1941000
3789	7765	947250	1941250
3870	7801	967500	1950250
3811	7796	952750	1949000
3801	7821	950250	1955250
3792	7802	948000	1950500
3835	7771	958750	1942750
3777	7799	944250	1949750
3778	7799	944500	1949750
3797	7813	949250	1953250
3875	7797	968750	1949250
3873	7791	968250	1947750
3875	7800	968750	1950000
3874	7799	968500	1949750
3787	7774	946750	1943500
3793	7808	948250	1952000
3772	7779	943000	1944750
3829	7847	957250	1961750
3794	7800	948500	1950000
3779	7799	944750	1949750
3826	7841	956500	1960250
3834	7773	958500	1943250
3812	7811	953000	1952750
3796	7815	949000	1953750
3819	7815	954750	1953750
3818	7772	954500	1943000
3839	7831	959750	1957750
3840	7765	960000	1941250
3771	7787	942750	1946750
3825	7814	956250	1953500
3826	7814	956500	1953500
3827	7814	956750	1953500
3828	7822	957000	1955500
3773	7781	943250	1945250
3827	7813	956750	1953250
3829	7814	957250	1953500
3858	7771	964500	1942750
3880	7802	970000	1950500
3880	7803	970000	1950750
3825	7813	956250	1953250
3827	7812	956750	1953000
3846	7758	961500	1939500
3794	7785	948500	1946250
3828	7833	957000	1958250
3828	7834	957000	1958500
3855	7797	963750	1949250
3854	7797	963500	1949250
3827	7827	956750	1956750
3795	7811	948750	1952750
3836	7813	959000	1953250
3837	7813	959250	1953250
3838	7813	959500	1953250
3827	7842	956750	1960500
3843	7837	960750	1959250
3820	7772	955000	1943000
3792	7831	948000	1957750
3841	7777	960250	1944250
3772	7773	943000	1943250
3835	7831	958750	1957750
3836	7831	959000	1957750
3835	7830	958750	1957500
3836	7830	959000	1957500
3851	7794	962750	1948500
3813	7773	953250	1943250
3814	7773	953500	1943250
3831	7833	957750	1958250
3803	7784	950750	1946000
3805	7824	951250	1956000
3805	7821	951250	1955250
3845	7847	961250	1961750
3832	7773	958000	1943250
3833	7772	958250	1943000
3832	7772	958000	1943000
3791	7807	947750	1951750
3791	7806	947750	1951500
3772	7788	943000	1947000
3826	7813	956500	1953250
3826	7812	956500	1953000
3843	7754	960750	1938500
3795	7798	948750	1949500
3793	7798	948250	1949500
3794	7798	948500	1949500
3794	7797	948500	1949250
3777	7797	944250	1949250
3774	7799	943500	1949750
3835	7807	958750	1951750
3834	7807	958500	1951750
3791	7758	947750	1939500
3857	7778	964250	1944500
3853	7779	963250	1944750
3857	7818	964250	1954500
3857	7817	964250	1954250
3849	7828	962250	1957000
3846	7800	961500	1950000
3831	7838	957750	1959500
3789	7777	947250	1944250
3783	7788	945750	1947000
3842	7800	960500	1950000
3860	7764	965000	1941000
3847	7799	961750	1949750
3847	7798	961750	1949500
3772	7783	943000	1945750
3777	7783	944250	1945750
3795	7785	948750	1946250
3851	7828	962750	1957000
3833	7831	958250	1957750
3844	7827	961000	1956750
3850	7813	962500	1953250
3844	7816	961000	1954000
3806	7769	951500	1942250
3763	7796	940750	1949000
3789	7762	947250	1940500
3816	7805	954000	1951250
3768	7802	942000	1950500
3755	7806	938750	1951500
3757	7813	939250	1953250
3796	7802	949000	1950500
3850	7794	962500	1948500
3850	7795	962500	1948750
3794	7819	948500	1954750
3869	7780	967250	1945000
3866	7794	966500	1948500
