gridx	gridy	x	y
9523	19559	952300	1955900
9524	19560	952400	1956000
9549	19522	954900	1952200
9572	19534	957200	1953400
9571	19534	957100	1953400
9571	19533	957100	1953300
9549	19523	954900	1952300
9549	19524	954900	1952400
9548	19524	954800	1952400
9549	19525	954900	1952500
9548	19525	954800	1952500
9572	19525	957200	1952500
9572	19527	957200	1952700
9572	19535	957200	1953500
9571	19535	957100	1953500
9556	19523	955600	1952300
9556	19524	955600	1952400
9557	19524	955700	1952400
9558	19524	955800	1952400
9557	19523	955700	1952300
9549	19526	954900	1952600
9572	19524	957200	1952400
9573	19524	957300	1952400
9572	19526	957200	1952600
9571	19525	957100	1952500
9571	19526	957100	1952600
9571	19527	957100	1952700
9571	19528	957100	1952800
9572	19528	957200	1952800
9572	19529	957200	1952900
9572	19530	957200	1953000
9571	19529	957100	1952900
9571	19530	957100	1953000
9572	19531	957200	1953100
9536	19524	953600	1952400
9536	19523	953600	1952300
9520	19556	952000	1955600
9571	19531	957100	1953100
9570	19530	957000	1953000
9570	19531	957000	1953100
9519	19556	951900	1955600
9520	19557	952000	1955700
9519	19557	951900	1955700
9521	19556	952100	1955600
9572	19532	957200	1953200
9571	19532	957100	1953200
9555	19487	955500	1948700
9554	19487	955400	1948700
9522	19557	952200	1955700
9521	19557	952100	1955700
9521	19558	952100	1955800
9521	19559	952100	1955900
9520	19558	952000	1955800
9522	19558	952200	1955800
9572	19533	957200	1953300
9522	19559	952200	1955900
9523	19558	952300	1955800
9524	19558	952400	1955800
9525	19558	952500	1955800
9572	19609	957200	1960900
9598	19635	959800	1963500
9570	19564	957000	1956400
9560	19528	956000	1952800
9560	19527	956000	1952700
9559	19528	955900	1952800
9559	19527	955900	1952700
9561	19527	956100	1952700
9561	19528	956100	1952800
9562	19528	956200	1952800
9562	19527	956200	1952700
9563	19527	956300	1952700
9563	19528	956300	1952800
9564	19527	956400	1952700
9564	19528	956400	1952800
9560	19525	956000	1952500
9559	19525	955900	1952500
9560	19526	956000	1952600
9559	19526	955900	1952600
9561	19526	956100	1952600
9554	19539	955400	1953900
9554	19538	955400	1953800
9552	19534	955200	1953400
9552	19532	955200	1953200
9554	19534	955400	1953400
9555	19538	955500	1953800
9556	19538	955600	1953800
9556	19537	955600	1953700
9555	19537	955500	1953700
9557	19537	955700	1953700
9557	19538	955700	1953800
9560	19529	956000	1952900
9559	19529	955900	1952900
9561	19529	956100	1952900
9557	19539	955700	1953900
9560	19530	956000	1953000
9559	19530	955900	1953000
9558	19538	955800	1953800
9558	19539	955800	1953900
9558	19540	955800	1954000
9559	19539	955900	1953900
9559	19540	955900	1954000
9559	19531	955900	1953100
9560	19531	956000	1953100
9561	19531	956100	1953100
9561	19532	956100	1953200
9562	19533	956200	1953300
9562	19532	956200	1953200
9562	19531	956200	1953100
9560	19532	956000	1953200
9559	19532	955900	1953200
9560	19533	956000	1953300
9558	19541	955800	1954100
9557	19541	955700	1954100
9557	19540	955700	1954000
9559	19541	955900	1954100
9561	19533	956100	1953300
9560	19534	956000	1953400
9561	19534	956100	1953400
9580	19604	958000	1960400
9559	19542	955900	1954200
9560	19542	956000	1954200
9560	19541	956000	1954100
9561	19542	956100	1954200
9559	19534	955900	1953400
9560	19535	956000	1953500
9557	19535	955700	1953500
9558	19535	955800	1953500
9557	19533	955700	1953300
9558	19533	955800	1953300
9558	19532	955800	1953200
9561	19541	956100	1954100
9560	19543	956000	1954300
9562	19541	956200	1954100
9563	19541	956300	1954100
9562	19540	956200	1954000
9562	19542	956200	1954200
9556	19534	955600	1953400
9556	19533	955600	1953300
9557	19532	955700	1953200
9557	19531	955700	1953100
9559	19533	955900	1953300
9558	19534	955800	1953400
9555	19535	955500	1953500
9556	19532	955600	1953200
9561	19543	956100	1954300
9563	19542	956300	1954200
9563	19540	956300	1954000
9564	19540	956400	1954000
9564	19539	956400	1953900
9563	19539	956300	1953900
9555	19532	955500	1953200
9556	19535	955600	1953500
9561	19544	956100	1954400
9557	19528	955700	1952800
9557	19534	955700	1953400
9558	19528	955800	1952800
9558	19529	955800	1952900
9558	19527	955800	1952700
9559	19535	955900	1953500
9473	19437	947300	1943700
9461	19424	946100	1942400
9519	19500	951900	1950000
9469	19513	946900	1951300
9641	19507	964100	1950700
9606	19448	960600	1944800
9607	19448	960700	1944800
9607	19447	960700	1944700
9472	19506	947200	1950600
9635	19482	963500	1948200
9469	19432	946900	1943200
9602	19572	960200	1957200
9550	19443	955000	1944300
9414	19442	941400	1944200
9415	19442	941500	1944200
9463	19473	946300	1947300
9630	19633	963000	1963300
9631	19633	963100	1963300
9411	19511	941100	1951100
9481	19467	948100	1946700
9634	19511	963400	1951100
9626	19515	962600	1951500
9635	19516	963500	1951600
9634	19516	963400	1951600
9426	19440	942600	1944000
9454	19446	945400	1944600
9423	19452	942300	1945200
9423	19481	942300	1948100
9416	19493	941600	1949300
9413	19500	941300	1950000
9413	19505	941300	1950500
9415	19511	941500	1951100
9414	19507	941400	1950700
9391	19515	939100	1951500
